Number,Track Name,Album,Main Artist,Related Artists,Spotify Link,Album Wikipedia,Related Artists - Album,Artist Wikipedia,Related Artists - Other,text_body
1,Return of the Grievous Angel,Grievous Angel,Gram Parsons,[],https://open.spotify.com/track/7vOYp7KJ8gVmVbcatSVf9J,https://en.wikipedia.org/?curid=2910749,Gram Parsons; Emmylou Harris; Glen D. Hardin; James Burton; Emory Gordy Jr.; Ron Tutt; Herb Pedersen; Al Perkins; Bernie Leadon; Byron Berline; N.D. Smart; Steve Snyder; Linda Ronstadt,https://en.wikipedia.org/?curid=164426,James Burton; Gram Parsons; Emmylou Harris,"May `24 (1 through 22)


5-10-2024: Return of the Grievous Angel


Folks,


Here's the deal: one song per day for a year. I send them out with some thoughts. You listen, get your own thoughts, and reply-all (if the spirit moves you).


These songs are all ""country adjacent,"" as classified/defined by me. Why?
1. They're good.
2. They're (often) overlooked
3. There's nuance.
Elaborating on point 3: ""country"" is a divisive word, oft-leveraged and applied in bad faith. Labels can hide some shoddiness, but shouldn't. These songs stand on their own merit. Most don't even say much about cowboys — the ones that do deserve to. We're looking for substance, not box-checking.


Conversely, some twang can work wonders. Don't fear the fiddle. Folk fans and rockers will find plenty to enjoy here. Goal #1 of the newsletter is to give me a platform; goal #2 is to expand some horizons.


Important point: these are not ratings, rankings, or reviews. Every song is top-notch. I'll say more about the (lengthy) selection process later. But, this isn't a ""best of"" list, or a definitive sampler. It's just some stuff that I like. It's biased, which is honest.


We'll elaborate on the philosophy as we go. Tell your friends to sign-up. Send me emails. I'll tally how many referrals everyone brings in — winner gets a belt-buckle.


______________________________


Song #1: ""Return of the Grievous Angel""
Who Made it: Gram Parsons & Emmylou Harris
Year: 1974
_______________________________


Thoughts: Starting off with a doozy. I'm a sucker for a duet. I'm a sucker for calling out a solo ('Pick it for me, James!'). Chiefly, I'm a sucker for Emmylou Harris. Take note: she's going to keep showing up. We've got pedal steel, right off the bat. We've got fiddle. We've got symbolism, saloons, and drugs. The bridge line ('And the man on the radio won't leave me alone...') lands just right. Listen to how the guitar follows that part. 


Sometimes, good songs have good advice. Every one of you ought to 'head west to grow up with the country' if you haven't yet. Or, if you started west, head east. Head somewhere. Head down 20,000 roads. Head back to you (whoever you is).


Take this song as a template. It's first for a reason. This week's selections introduce us to the heavy-hitters and trend-setters — acts with the most entries in my list. Grievous Angel sets an arc. The finale song for the year will mirror this one in form and content. Anticipate closure (with a twist).


– Matt"
2,Little Silver Heart,Lucero,Lucero,[],https://open.spotify.com/track/1BK3DmIQ3QU19F50YXhz8R,https://en.wikipedia.org/?curid=7131398,,https://en.wikipedia.org/?curid=25523421,,"5-11-2024: Little Silver Heart


Day 2. Keep it rollin'. Kudos to Eli and Elizabeth for spreading the word.
______________________________


Song #2: ""Little Silver Heart""
Who Made it: Lucero
Year: 2001
_______________________________


Thoughts: ""Alt-country"" in quotes means whatever it's referring to. Alt-country unquoted means this. Gruff and gritty. Crunchy guitars and loose twang. This song, probably more than any other, turned me on to this side of the genre. It's the 20th song I added to a monster playlist (now just shy of 8000) that I started back in 2018. About a year and a half ago, I decided to comb through and pick the best ones that fit under the ""country"" umbrella. I made a sweep and picked around 2000 candidates. They were all good, but I wanted to whittle down to something really good. It took a few more months until I worked the list down to ~600. Those got bounced back and forth through a few stages of probation until the cut hit 365. Those are the ones that I'm sending out now—locked in.


If I didn't have Grievous Angel contingent narrative schemes, I probably would have made this song the opener. I like that the drums sound like a train, and even run out of steam toward the end. I like the way 'tired' sounds the last time around, and I like that it would sound good in a bar. Nothing fancy going on with the lyrics, just a fella movin' on. Simple fare, well-done.


Lots of songs on this list have memories attached. I have good ones of hearing this song playing once in Hanover Strings while the dude there upsold me on a pedal, and of making a bunch of kids listen to this on a rafting trip. Now you can all have memories of me sending you songs on the internet...what a time to be alive. Thanks, Lucero!


– Matt"
3,Why She's Acting This Way,Our Mother the Mountain,Townes Van Zandt,[],https://open.spotify.com/track/5txiSsUabBGJHSWWU2Veum,https://en.wikipedia.org/?curid=9312975,Townes Van Zandt; Ben Bernay; James Burton; John Clauder; David Cohen; Chuck Domanico; Jack Clement; Charlie McCoy; Lyle Ritz; Don Randi; Harvey Newmark; Mike Deasy; Donald Frost; Jules Jacob; Bergen White; Donnie Owens; Charlie Tallent; Milton Glaser; Allen Vogel,https://en.wikipedia.org/?curid=292709,Jack Clement,"5-12-2024: Why She’s Acting This Way
Recruitment/buckle update: Will H takes the lead.


Before we get into it, special shoutouts to LJ T and Kevin D. I turned 26 on Thursday. LJ sent me $24.67 to buy a new record, and Kevin sent me a Gillian Welch hat. I wore the hat to my local shop and picked up a gem. Here's a picture of me, the hat, and the gem:


The gem is TVZ live in HTX, 1973. I tried to avoid live cuts for the official list, but everyone ought to give this album a listen. I spun it last night with three Montuckies and got misty by the end. 


Here's today's song.


______________________________


Song #3: ""Why She's Acting This Way""
Who Made it: Townes Van Zandt
Year: 1969
_______________________________


Thoughts:  Remember, week one is for meeting the ringers. Today it's Townes Van Zandt. I'm not going for any sort of biography — click the link and read there if you're interested.  I'll recycle his own line: 'Oh what it all goes to show, it ain't my job to say.' You don't need the details to appreciate the music. Songs like his cut close enough to the source that careful listening ought to tell you where he stood.


The pendulum swings: if ""Little Silver Heart"" was trains and twang, ""Why She's Acting This Way"" is all kites and soft eyes. We've got rich lyrics. If you've wanted to chime in but haven't, here's a good opportunity: pick your favorite line and give your two cents. Who hasn't seen a 'sunflower smile' or had 'bandana blues'? Failing legs, cups of fire, calls to lovers. Amplitude and richness.


These are the last lines:


But don't you worry 'bout me
I can make it alone
'cause I got no place to be
And I ain't far from home


Hard lines to balance! 'Far from home' feels like anywhere sometimes and nowhere others (which is still true when you put ain't in front). Is there comfort we shouldn't have to need? Chew it over.


Bonus track: a standout from the live album.


– Matt


Reply from Osman Khan:


Like silence she stands/
Like laughter she falls


Does silence stand? Does laughter fall? Maybe not. But an image forms in the mind anyway, stones drifting down, down and away, an unavoidable cascade.


It’s real hard to write rich, ambiguous imagery without coming across as a second-rate Dylan (looking at you, Asbury Park era Springsteen) but boy he manages it.


Is she flighty or is she stolidly set against him? Is she leaving him or is he telling her to leave? Standing like silence or falling like laughter, crying or failing to? In love, it’s often all of the above. In the end, TVZ shrugs and decides not to figure out a pattern, he’s just reporting his findings.


With fuss and love,
Osman Khan"
4,You're Supposed to be Feeling Good,Luxury Liner,Emmylou Harris,[],https://open.spotify.com/track/2vrprM3PE1gLJoaLBTdRwX,https://en.wikipedia.org/?curid=4606969,Brian Ahern; Mike Auldridge; Dianne Brooks; James Burton; Rodney Crowell; Rick Cunha; Hank DeVito; Emory Gordy Jr.; Glen Hardin; Emmylou Harris; Nicolette Larson; Albert Lee; Dolly Parton; Herb Pedersen; Mickey Raphael; Ricky Skaggs; Fayssoux Starling; John Ware; Donivan Cowart; Bradley Hartman; Stuart Taylor; Miles Wilkinson,https://en.wikipedia.org/?curid=123572,Brian Ahern; Emmylou Harris; Dolly Parton; Rodney Crowell; James Burton; Ricky Skaggs,"5-13-2024: You’re Supposed to be Feeling Good
_____________________________


Song #4: ""You're Supposed to be Feeling Good""
Who Made it: Emmylou Harris
Year: 1977
_______________________________


Thoughts:  We had Emmylou on backup vocals earlier this week. Here, she's front and center.


This one's for the heartbreakers (and the broken). It's bluesy. It's disillusioned. It's resentful! Osman made a good point yesterday about TVZ's evocative, nonsensical imagery. This one's more direct. No words minced in lines like these:


Your true love has made you feel better
But look out for later
When she makes you feel worse


Ouch! Straight to the point. Then, around the 1:33 mark, we get a 10/10 western kickstart. When the word 'said' comes around in the first chorus, it's punchy and loaded. The bendy guitar echoes it right back. When I hear the title line ('You're supposed to be feelin' good. 'Cause everybody said you would'), it feels like this scene from Hot Rod:


The rug's pulled out. The safety-net's gone. The prophets lied. It's an anthem for the rose-tinters and nostalgics. Circumstance and feeling don't separate so easy —supposed to is supposed to, but doesn't mean you will. Big stuff underwhelms. We make global claims from local data, deceived by the blues. Curse the curves and keep on truckin'. Primes recur.


The pedal-steel on this one adds some tasteful texture. Listen for it. Percussive harmonica in the verses? All sorts of unique sounds. It's a good headphones song, panning around. I'd like someone who knows something about music production (Michael Schedin) to explain the first few measures to me. How'd they do that?


Feel good,


– Matt"
5,Zip City,Southern Rock Opera,Drive-By Truckers,[],https://open.spotify.com/track/2a2zqhzAkG77QBynuFy0ws,https://en.wikipedia.org/?curid=1138017,Mike Cooley; Earl Hicks; Patterson Hood; Rob Malone; Brad Morgan; Kelly Hogan; Anne Richmond Boston; Jyl Freed; Amy Pike; Rodney Mills,https://en.wikipedia.org/?curid=1217798,Patterson Hood; Mike Cooley; Brad Morgan; Rob Malone; Earl Hicks; Jyl Freed; Kelly Hogan; Amy Pike,"5-14-2024: Zip City


Honor-code instructions: get your setup turned loud before clicking the link. The song comes on strong with beefy guitars and percussion. We're on the ""rock"" side of ""country rock"" today.


______________________________


Song #5: ""Zip City""
Who Made it: Drive-By Truckers
Year: 2001
_______________________________


This track's from Southern Rock Opera, the Drive-By Truckers'  well-named Lynyrd Skynyrd eulogy/history lesson/concept album. It's a 90 minute barrage of cranked-amp canonizations and delicate self-assessment. They're on tour this year and playing the whole album straight through to kick off their shows. Snag tickets if you can. Send me a bootleg.


I'm going to invoke my English minor authority here and say that there's some solid plot development packed into this five minute song. Three minutes, really, since guitar solos take a big slice. We get dropped right down in the ditch with the red-blooded narrator, his taken-for-granted belle, and the mad-as-hell deacon daddy.  The second verse introduces mama, sister, and brother, each with just enough backstory to make things interesting. They're gone as soon as they arrive, but they add some heft while the rest of the song fills out its allegory.


Economy of words: ""Zip City"" is a title, a setting, and motivation for the plot. I looked it up: Zip City is a real town in Alabama (not just a euphemism), and it is a 26 mile drive from Colbert Heights:


The ""teenage freedom/open highway"" story is nothing new, but DBT pull it off here, stuck on 26 miles of road, better than most. They know how to write:


I got 350 heads on a 305 engine
I get ten miles to the gallon
I ain't got no good intentions


That's a cool line. No two-ways about it. I don't know what a '350 head' is (I drove a Honda Insight when I was 17), but I'd get that tattooed on my quads any day. Some feelings transcend automotive literacy.


– Matt


Reply from Sean Madden:


A great song with an excellent story. Country songs named after real small towns always have a place in my heart.


For those who are interested in a more stripped down and dramatic version I would recommend The Live Version at Shoals Theater. Mike Cooley (One of the lead singers of the drive-by truckers) in this version emphasizes some of the more pivotal lines, including the one that ties the story together:


'Cause he knows that blood red carpet at the Salem Church of Christ
Ain't gonna ever see no wedding between me and you


Contrary to Matt I think this story is just as much about being a teenage dirtbag, angry and manipulative, than it is a classic teenage freedom tale. There are no heroes in this tale, especially not the narrator. The song is based on Mike Cooley's early years, and at the end of the live version, Mike Cooley jokes, ""and that's why I have bulletproof glass on my Minivan""


In fact, if you are looking for an album loaded with sharp lyrics and southern tales, I'd recommend the whole ""Live at the Shoals Theater"". A collection of the DBT's most personal songs, stripped down.


The show is right where the Drive-By truckers formed and happens to sit right in the middle of the drive from Colbert Heights to Zip City."
6,Telephone Road,El Corazon,Steve Earle,[],https://open.spotify.com/track/1rjvVnu5bMrKKGKLTJOYrJ,https://en.wikipedia.org/?curid=4425962,Steve Earle; Del McCoury; Emmylou Harris; Ray Kennedy; Dan Bolton; Mike Bub; Tommy Hannum; Kelly Looney; Robbie McCoury; Ronnie McCoury; Micheal Smotherman; Eddie Spaghetti; Ross Rice; David Steele; Brad Jones; Renaldo Allegre; Brady Blade; Jason Carter; Mark Stuart; Justin Earle; Jim Hoke; Tony Fitzpatrick,https://en.wikipedia.org/?curid=194910,Steve Earle; Emmylou Harris,"5-15-2024: Telephone Road


Let me paint a picture for the East-Coasters and Rocky Mountain contingent. Blank canvas. Make it 4:39 on a Tuesday afternoon. 88° with low humidity (46%). Sunny. You're sitting at a picnic table with a $1.25 Lone Star. Everyone likes your linen shirt. You're gonna get another Lone Star, then type up your newsletter. 


What song do you pick?


______________________________


Song #6: ""Telephone Road""
Who Made it: Steve Earle
Year: 1997
_______________________________


Thoughts: If your imagination could parse that description, you've put yourself in my shoes. All true, except the part about the shirt. It's been a good day in Houston. I bummed around my neighborhood, took a picture of the house from Rushmore, ate some truck tacos, and checked on my buddy's cat.


""Telephone Road"" is the first part of a Houston double-header that'll close out our first week. I moved here last August. I'm not the most knowledgeable Houstonian on the mailing list (Tim and Katie have me beat), but I think I'm the only one living here right now. I liked this music before I ever thought I'd land here—I'm sure it influenced my choice. Legend has it that Steve Earle moved to Houston to find his hero, Townes Van Zandt. See the connections forming? Everyone's following someone. 


I've got a ticket to see Steve live in June.


This place is different from Laramie/Hanover/Bath. As the man says, 'Houston's 'bout as big as a city can get'. Why come here when I like where I've been? You've gotta throw yourself curveballs sometimes. Keeps you on your toes. I probably won't stay here for good, but I'm glad to be here now.


I haven't driven down Telephone Road. I can't confirm whether there really are a hundred honky tonks. Maybe some people aren't rockin'. But, the sentiment of the song feels spot-on. This ain't Wyoming. This ain't New Hampshire. 'This ain't Louisiana, your momma won't know.' It's the right song for a new summer in a new place, far from old expectations. Find yourself a Jimmy and raise some hell.


'Someday I'm goin' home but I ain't ready yet'


– Matt"
7,Rolling Along,Happy Woman Blues,Lucinda Williams,[],https://open.spotify.com/track/5KkGnH6johEhnfsXOn7iPR,https://en.wikipedia.org/?curid=2418961,Lucinda Williams; Mickey White; Rex Bell; Andre Mathews; Ira Wilkes; Malcolm Smith; Ronald Clyne,https://en.wikipedia.org/?curid=273373,Lucinda Williams,"5-16-2024: Rolling Along


""Roads songs"" aren't genre specific, but country has a lot of them. We've already had a couple of poignant road-trips so far: Cheyenne to Tennessee in ""Grievous Angel"" (thinking about a calico bonnet) and Zip City to Colbert heights in ""Zip City"" (thinking about whatever teenage Mike Cooley thought about). Today, we get another trip: Little Rock to Houston, thinking about You*.
______________________________


Song #7: ""Rolling Along""
Who Made it: Lucinda Williams
Year: 1980
_______________________________


Thoughts: I promised a Houston double-header. ""Rolling Along"" isn't as HTX-centric as ""Telephone Road"" was, but I'll still count it.


Here's a good opportunity to think about how a song sounds, what it says, and how the two go together. On the instrumental side, we've got the bouncy kickdrum, some light chicka-chicka strumming, friendly bass, and a clean lead-electric that wanders in and out. It paints a pleasant picture. You could listen to ""Rolling Along"" on a warm drive, with your left hand out the window keeping beat.


If you focus on the beat and the sun on your arm, it'll be a nice drive. Dig in a little, though, and you feel an edge. It's not an overtly bluesy song like ""You're Supposed to be Feeling Good,"" but these lines hurt:


Well, I'd love to see your smilin' face
If I could take just one last look
But you left me just one last trace
On the pages of your book
But words can't hold me every night
And words can't kiss me in the mornin'


As a thought experiment, try taking those lines and giving them to Eddie Vedder around the 3:37 mark in Black. Not so cheery after all! The head-fake here —wrapping some lonely lyrics in a bright and bouncy bow—tracks with the album's title, Happy Woman Blues. Still, there's more nuance than oxymoron. The verse  ends with optimism (or at least resilience):


Look out honey I got love in my heart, and it's growin' and it's burnin.


Take that, Eddie.


I meant for this week's seven songs to go together as a unit. Hopefully, you found a couple you like. If you get a spare half-hour today, try listening to them all back-to-back. The list is short enough now that that's still feasible. New ground ahead, but these artists will keep coming back


– Matt


(*New style convention: I'm going to start using a capitalized, italicized ""You"" for the recurring endpoint character who motivates all this driving. You are the reader; You is where 20,000 roads lead. Thanks to the Universal Property of songs, you can fill in your own You.)"
8,Nothing Was Delivered,Sweetheart of the Rodeo,The Byrds,[],https://open.spotify.com/track/2wZGvJqe4QWwJv1F7HWpDM,https://en.wikipedia.org/?curid=195767,Roger McGuinn; Chris Hillman; Gram Parsons; Kevin Kelley; Lloyd Green; JayDee Maness; Clarence White; John Hartford; Earl P. Ball; Barry Goldberg; Gary Usher; Roy Halee; Charlie Bragg; Adam Block; Jo Mora,https://en.wikipedia.org/?curid=98648,Chris Hillman; The Byrds; Gram Parsons; Clarence White; Gary Usher; Kevin Kelley,"5-17-2024: Nothing Was Delivered


Here's a breakdown of what to expect from week #2: two powerhouse groups, two big names, one mid-cut, and two deep-cuts.


______________________________


Song #8: ""Nothing Was Delivered""
Who Made it: The Byrds
Year: 1968
_______________________________


Thoughts: This album —Sweetheart of the Rodeo —made waves. Old Byrds fans didn't like it because it was too country. Country fans didn't like it because it didn't sound how country sounded before. I like it, though, as did a whole bunch of folks between now and then who worked it into their style. How'd the album come to be? The Byrds had a good run of folk-rock records in the mid 60s (with some country inflections). Then, they hired Gram Parsons (the guy from song #1), who'd been busy in the country-rock lab. He pushed his creative agenda, and Sweetheart is what came through. Not long after they finished the album, Parsons moved on to other projects (""creative differences""). 


Other influences were afoot. ""Nothing Was Delivered"" is one of two Bob Dylan songs on Sweetheart, both from his Basement Tapes. I won't dive too much more into the history (because I don't know much more about it), but that ought to be enough to highlight the musical syzygy. Read more on wikipedia if you're curious.


On to the song itself: a perfect pedal-steel intro kicks off. It's the most human, most emotive instrument out there, and a huge factor in making this genre so good. The first verse goes heavy on the country tones, and leaves room for pondering the Dylanisms — some sort of spiritual business deal gone bad? Take a stab at unpacking if you feel up to it.


Three acapella syllables, then the rhythm straightens out, the pedal backs down, and we're back to rockville. Bob's fog parts and we get three of the most clean-cut, memorable lines you could want:


Nothing is better
Nothing is best
Take care of yourself and get plenty of rest


You can't hear that and not feel a little bit better. It's like a text from Mom after your first week of college. It makes this song into a great slump buster, a great track when you need to shake off a rut. Keep it in your back pocket for the next time you need to get over some non-deliverance.


– Matt"
9,Cigarette Machine,6Volts,Fred Eaglesmith,[],https://open.spotify.com/track/10PZZkRK6BQGZ3ZgPKsTnd,,,https://en.wikipedia.org/?curid=1461515,Fred Eaglesmith,"5-18-2024: Cigarette Machine
______________________________


Song #9: ""Cigarette Machine""
Who Made it: Fred Eaglesmith
Year: 2012
_______________________________


Thoughts: Broke down, beat up, worn through. Today's pick won't put much wind in your sails, particularly compared to yesterday's high-octane chin-lifter. Everything in this song comes through in lo-fi sepia, dusty and earnest. It's good for dive-bar afternoons — the sort of tear-in-the-beer anthem you'd want to hear in a place that still stocks the eponymous appliance.


We catch some glints in the haze, like dust in that dive bar sun. There's a lazy pedal, the first mandolin we've come across, and maybe even a couple steel drum hits. The song loops well with itself: I queued it up a few times in a row while I was shredding calc finals. The hypnotic effect stacks with sequential plays. I got a thousand yard stare around the 4th and had to pause to focus. Tests can't shred themselves.


Closing thought: I've never heard any good vape inspired country songs. Maybe there aren't any, or maybe that's a deaf spot in my listening. I'd guess the former, but please reply if you can prove me wrong. Cigarettes are the ethos. When the time's right, I'll send out a video of Townes Van Zandt pulling a slick cig move. Stay tuned: it's worth catching.


– Matt"
10,Rock Me on the Water,Linda Ronstadt,Linda Ronstadt,[],https://open.spotify.com/track/50DGEghpwDFdZovHi0nz7K,https://en.wikipedia.org/?curid=160760,,https://en.wikipedia.org/?curid=160760,Linda Ronstadt,"5-19-2024: Rock Me on the Water


______________________________


Song #10: ""Rock Me on the Water""
Who Made it: Linda Ronstadt
Year: 1972
_______________________________


Thoughts: Here's the week's biggest name: Linda Ronstadt, Queen of LA (according to Mick Jagger's t-shirt).


Beyond ruling LA, Ronstadt is part of the holy Trio (along with Harris and Parton). We'll hear plenty of grizzled, pack-a-day voices this year, but today's ain't one. I thought about attaching some metrics to the songs on this list, scoring them on attributes like twang, grit, wallop, bounce, etc. I tabled that idea, but ""Rock Me on the Water"" would have scored high on scrunch*.


Scrunch, in case it's not clear, means a song's tendency to make your face twist up. It's a feature that concentrates in particular notes and phrases. For me, those moments on ""Rock Me"" come in the first chorus ('soothe my fevered brow'), the third verse ('Like Jesus in the sky,' and the following slide fill), and in the outro chorus ('The wind is with me now'). Potent stuff!


The Ronstadt pipes could stand on their own, but they don't have to. I like how the backing vocals add some body here: strategic ""oooos"" and ""aaahhhhs"" closing the verses, then tripled-up lines sticking close to the lead in the choruses. Allstars deserve support, and supporters deserve recognition.


""Rock me on the Water"" is a Jackson Browne tune originally, from his debut album (which came out when he was 23, by the way). Jackson's version is great, but not country enough to make this list —he'll get his day. Linda's take, though, hits the sweet spot. Her singing chops are strong enough to pull in the genre agnostics, and this track is a nice midpoint between twangy numbers like ""Crazy Arms"" and poppier fare. If you've been on this fence, this might help knock you off on the right side.


JB's catalog features some memorable idealistic-outsider characters (see ""The Pretender"" and ""For Everyman"" **). Those songs came later, but we get a bit of that here:


The road is filled with homeless souls
Every woman child and man
Who have no idea where they will go
But they'll help you if they can


That's a nicely tempered, timidly optimistic outlook: no one has a clue, but we're in it together. As for practical wisdom, I like the line that comes next:


Everyone must have some thought
That's gonna pull them through somehow


Seems a little weak typed out, but it lands when Linda belts it. Think about your thoughts: which one's your pull-through?


– Matt


* Illustrating with an example: one of the scrunchiest moments I know comes in JB's ""Running on Empty"". Listen to the last three notes (from 2:05-2:07) of slide guitar solo that starts at 1:44. Hear those notes in the perfect context***, and they'll knock you out.


** Advice on ""For Everyman"": if you listen, you have to listen to the song before it on the album (""Sing My Songs to Me"") too, in the right order. There's a smooth transition between them, and the ""Everyman"" start is too abrupt without it.


*** The perfect context is walking home down W Wheelock at 2am and listening to it over the outdoor TDX speakers."
