number,song,artist,has_lorraine_loretta
1,"Return of the Grievous Angel","Gram Parsons & Emmylou Harris",0
2,"Little Silver Heart","Lucero",0
3,"Why She's Acting This Way","Townes Van Zandt",0
4,"You're Supposed to be Feeling Good","Emmylou Harris",0
5,"Zip City","Drive-By Truckers",0
6,"Telephone Road","Steve Earle",0
7,"Rolling Along","Lucinda Williams",0
8,"Nothing Was Delivered","The Byrds",0
9,"Cigarette Machine","Fred Eaglesmith",0
10,"Rock Me on the Water","Linda Ronstadt",0
11,"Down That Dusty Trail","Robert Earl Keen",0
12,"Player","Mark Jones",0
13,"Carolinah","Ox",0
14,"Flatness","Uncle Tupelo",0
15,"Some of Shelly's Blues","Michael Nesmith",0
16,"Suckerpunch","The Refreshments",0
17,"Loretta","Townes Van Zandt",1
18,"Anniversary Song","Cowboy Junkies",1
19,"Story of You","Jimmie Dale Gilmore",0
20,"Gimme a Ride to Heaven Boy","Terry Allen",0
21,"Leave the City","Magnolia Electric Co.",0
22,"Dancing With the Women at the Bar","Whiskeytown",0
23,"Placemat Blues","Slobberbone",0
24,"Sleeping on Hold","Freakwater",0
25,"Under Control","MJ Lenderman",0
26,"Song for You","The Outlaws",0
27,"Big Time","Angel Olson and Sturgill Simpson",1
28,"She Ain't Goin' Nowhere","Guy Clark",0
29,"The Bullfighter","Luke Bell",0
30,"Ashes by Now","Emmylou Harris",0
31,"The Living Bubba (Live, 2014)","Drive-By Truckers",0
32,"Good Time Charlie's Got the Blues","Danny O'Keefe",0
33,"Stolen Car","Ox",0
34,"South of Cincinnati","Dwight Yoakam",0
35,"Big Brown Eyes","Old 97's",0
36,"Omaha","Waylon Jennings",0
37,"Amarillo Highway (for Dave Hickey)","Terry Allen (and the Panhandle Mystery Band)",0
38,"Slice of Life","Dead Hot Workshop",0
39,"Colorado","Stephen Stills",0
40,"Feel Alright","Steve Earle",0
41,"West","Lucinda Williams",0
42,"Evangeline","Los Lobos",0
43,"Shoestrings","Cowboy",0
44,"Through The Morning, Through The Night","Dillard & Clark",0
45,"Radio King","Golden Smog",0
46,"Roadworn and Weary","Supersuckers",0
47,"High, Low and In Between","Townes Van Zandt",0
48,"Crowbar","Waxahatchee",0
49,"Tom Ames' Prayer","Steve Earle",0
50,"Wayside/Back in Time","Gillian Welch",0
51,"Rough and Rocky","Emmylou Harris",0
52,"Mr. Bojangles","Jerry Jeff Walker",0
53,"Panties In Your Purse","Drive-By Truckers",0
54,"Growing Trade","Levon Helm",0
55,"A Pirate Looks At Forty","Jimmy Buffett",0
56,"Wild Billy's Circus Story","Bruce Springsteen",0
57,"Victim Of Life's Circumstances","Delbert McClinton",0
58,"Fuck Up","Sarah Shook & the Disarmers",0
59,"Hands on the Wheel","Willie Nelson",0
60,"5 Days in May","Blue Rodeo",0
61,"You Can Close Your Eyes","Linda Ronstadt",0
62,"Dying of the Pines","The Gourds",0
63,"Alone Again Or","Calexico",0
64,"These Days","Gregg Allman",0
65,"Welcome to Earth (Pollywog)","Sturgill Simpson",0
66,"Early Blue","F.J. McMahon",0
67,"Winonah","Michael Nesmith",0
68,"Lake Marie","John Prine",1
69,"What's the World Got in Store","Wilco",0
70,"If You Were a Bluebird","Joe Ely",0
71,"Silver Raven","Gene Clark",0
72,"The Bramble and the Rose","Barbara Keith",0
73,"Play Something We Know","Adam Hood",0
74,"Last Lonely Eagle","New Riders of the Purple Sage",0
75,"Tearjoint","Dan Penn",0
76,"Gravity's Gone","Drive-By Truckers",0
77,"Heaven's High","Wrinkle Neck Mules",0
78,"Tennessee Rose","Emmylou Harris",0
79,"Heart on a String","Jason Isbell and the 400 Unit",0
80,"Willin'","Little Feat",0
81,"Sunshine (Go Away Today)","Jonathan Edwards",0
82,"Play a Train Song","Todd Snider",0
83,"The Whiskey Makes You Sweeter","Laure Cantrell",0
84,"Crazy About You","Whiskeytown",0
85,"Tecumseh Valley","Townes Van Zandt",0
86,"817 Oakland Avenue","Charlie Parr",0
87,"Lodi","Creedence Clearwater Revival",0
88,"Texas & Tennessee","Lucero",0
89,"Tear Stained Eye","Son Volt",0
90,"That Old Time Feeling","Guy Clark",0
91,"Right in Time","Lucinda Williams",0
92,"More Than I Can Do","Steve Earle",0
93,"Look the Other Way","Justin Townes Earle",0
94,"Pork and Beans","Jake Xerxes Fussell",0
95,"Summer Brings the Sunshine","Jimmy Carter and Dallas County Green",0
96,"Cowgirl in the Sand","Neil Young",0
97,"James River Blues","Old Crow Medicine Show",0
98,"Some New Town","Slobberbone",0
99,"The Needle Has Landed","Neko Case",0
100,"Gone Tomorrow","Lambchop",0
101,"Desert Skies","The Marshall Tucker Band",0
102,"Canola Fields","James McMurtry",0
103,"You Were the Fool","Ween",0
104,"L.A. Freeway - Live in New York, 1972","Jerry Jeff Walker",0
105,"Let the Good Times Roll","Natural Child",0
106,"Lungs","Townes Van Zandt",0
107,"The Girl Who Danced Oklahoma","Terry Allen",0
108,"The Old Black Hen","Songs: Ohia (and Lawrence Peters)",0
109,"Four Roses Whiskey","The Galoots",0
110,"Sun Comes Up, It's Tuesday Morning","Cowboy Junkies",0
111,"500 Miles Away from Home","Bobby Bare",0
112,"Salome","Old 97's",0
113,"Gone Wanderin'","Jackie Greene",0
114,"Long Time Gone","Darrell Scott and Tim O'Brien",0
115,"My Father's House","Emmylou Harris",0
116,"All Her Lovers Want to be the Hero","Steve Young",0
117,"New Madrid","Uncle Tupelo",0
118,"She Don't Care About Time","Gene Clark",0
119,"The End Is Not in Sight (The Cowboy Tune)","Amazing Rhythm Aces",0
120,"Wild Horses","The Flying Burrito Brothers",0
121,"Marry Me","Drive-By Truckers",0
122,"Hell","Waxahatchee",0
123,"Broken Records","The Refreshments",0
124,"<https://open.spotify.com/track/4C4tMiaVRICiMdswdA5kJf?si=3D463c3b582dea4d2=
d>**Farther
On Down the Road","Taj Mahal",0
125,"Pouring Rain at Dawn","The Jayhawks",0
126,"Mountain Girl","Blue Mountain",0
127,"Until You Came Along","Golden Smog",0
128,"Everywhere I Go","Willie Nelson",0
129,"She's Acting Single (I'm Drinking Double)","Wednesday",0
130,"Johnson's Love","Dwight Yoakam",0
131,"In Tall Buildings","John Hartford",0
132,"Crazy Man","Freakwater",0
133,"For the Sake of the Song","Townes Van Zandt",0
134,"Song of Love and Peace","Cowboy",0
135,"When I Fall","Steve Earle",0
136,"Demonic Possesion","Drive-By Truckers",0
137,"If I Could Only Fly","Blaze Foley",0
138,"I Won't Be Hangin' Round","Linda Ronstadt",0
139,"Caledonia","The Gourds",0
140,"Gimme Back My Dog","Slobberbone",0
141,"Codeine","Jason Isbell",0
142,"The Promise","Sturgill Simpson",0
143,"Loretta","Luke Bell",1
144,"To Beat the Devil","Kris Kristofferson",0
145,"Long Long Time to Get Old","Ian & Sylvia/Great Speckled Bird",0
146,"Palms of Victory","Emmylou Harris, Dolly Parton, and Linda Ronstadt",0
147,"One Way Train","Mark Jones",0
