Number,Track Name,Main Artist,Related Artists
276,Lover's Lullaby,Townes Van Zandt,[]
272,Honey I Been Thinking About You,Jackie Greene,[]
294,Sounds Better in the Song,Drive-By Truckers,[]
304,Houses,Elyse Weinberg,[]
344,Cantina Carlotta,Terry Allen,[]
303,Love Has No Pride,Linda Ronstadt,[]
286,The Weekend,Dave Rawlings Machine,[]
318,Long White Line,Strugill Simpson,[]
322,Born on a Train,Old 97's,[]
332,Another Lonesome Morning,Emmylou Harris,[]
334,Pan Bowl,Sturgill SImpson,[]
350,Catch and Release,Billy Strings,[]
279,Love Hurts,Gram Parsons (and Emmylou Harris),[]
297,Nada,The Refreshments,[]
288,Friends Like Those,Robert Ellis,[]
324,Pinball Song,Slobberbone,[]
278,Love Will Turn You Around,Kenny Rogers,[]
349,Lonely Feeling,Robert Earl Keen,[]
315,Further On Up The Road,Johnny Cash,[]
283,Won't Be Home,Old 97's,[]
351,Goddamn Lonely Love,Drive-By Truckers,[]
327,Houston,Robert Ellis,[]
312,The Galway Girl,Steve Earle,[]
271,That's How I Got To Memphis,Tom T. Hall,[]
289,Gulf Coast Highway,Emmylou Harris (and Willie Nelson),[]
329,Chase the Wind,Jimmie Dale Gilmore,[]
299,After Mardi Gras,Steve Earle,[]
337,Gentle On My Mind,John Hartford,[]
336,I'll be Here in the Morning,Townes Van Zandt,[]
310,How Lucky,Kurt Vile/John Prine,[]
274,Raising Hell,Lucero,[]
314,One Paper Kid,Emmylou Harris,[]
320,Pretend I Never Happened,Willie Nelson,[]
280,"Anyhow, I Love You",Guy Clark,[]
281,In Spite of Ourselves,John Prine/Iris DeMent,[]
298,Dreadful Selfish Crime,Robert Earl Keen,[]
295,Blue Sky,Allman Brothers Band,[]
285,Manhattan Bluebird,Terry Allen,[]
333,Hello In There,John Prine,[]
296,London Homesick Blues (Home With The Armadillo),Gary P. Nunn,[]
341,Poison Lovers,Steve Earle,[]
321,Car Wheels on a Gravel Road,Lucinda Williams,[]
340,I Never Cared For You,Willie Nelson,[]
325,Angels Are Falling,Patty Griffin,[]
313,The Mountain,Levon Helm,[]
348,Timebomb,Old 97's,[]
331,Excuse Me While I Break My Own Heart Tonight,Whiskeytown,[]
275,Love Like This,Drive-By Truckers,[]
292,Do I Ever Cross Your Mind,Chet Atkins/Dolly Parton,[]
282,L.A. County,Lyle Lovett,[]
273,Pick Your Nose,Cowboy,[]
335,With Tomorrow,Gene Clark,[]
302,New Delhi Freight Train,Terry Allen,[]
308,That's How Strong My Love Is,Steve Young,[]
317,Alabama Pines,Jason Isbell and the 400 Unit,[]
326,TV Dinners,MJ Lenderman,[]
305,Lilacs,Waxahatchee,[]
330,Nothin',Townes Van Zandt,[]
342,Me and Willie,Emmylou Harris,[]
301,Like a Summer Thursday,Townes Van Zandt,[]
346,To Live Is To Fly,Townes Van Zandt,[]
277,Long Long Time,Linda Ronstadt,[]
347,Sharp Cutting Wings (Song to a Poet),Lucinda Williams,[]
345,One Rung,Slobberbone,[]
309,Pecan Pie,Golden Smog,[]
343,Can't You See,The Marshall Tucker Band,[]
352,When Will I Be Loved,Linda Ronstadt,[]
284,Wait Up,Uncle Tupelo,[]
306,On Her Own,Gene Clark,[]
338,She,Gram Parsons,[]
307,Song of Wyoming,John Denver,[]
339,Just Be Simple,Songs: Ohia,[]
319,Give Back the Key to My Heart,Uncle Tupelo,[]
293,Country Girl,Brinsley Schwarz,[]
300,Long Time Running,The Tragically Hip,[]
328,Outfit,Drive-By Truckers,[]
