Number,Track Name,Main Artist,Related Artists
257,Since She Started to Ride,Jonathan Richman,[]
198,First Air of Autumn,Drive-By Truckers,[]
262,Six Blocks Away,Lucinda Williams,[]
225,Ol' Sundown,Frank Adams,[]
199,Pill Bug Blues,The Gourds,[]
259,The Road,Danny O'Keefe,[]
211,Breakfast,Darrin Bradbury,[]
143,Loretta,Luke Bell*,[]
165,I've Been the One,Little Feat,[]
195,"Formula Cola, Dollar Draft",Marah,[]
194,I'm Looking Through You,Steve Earle,[]
57,Victim Of Life's Circumstances,Delbert McClinton*,[]
151,Revenge,Whiskeytown Year: 1995,[]
54,Growing Trade,Levon Helm*,[]
248,Dublin Blues,Guy Clark,[]
13,Carolinah,Ox*,[]
35,Big Brown Eyes,Old 97's*,[]
7,Rolling Along,Lucinda Williams*,[]
45,Roadworn and Weary,Supersuckers*,[]
19,Story of You,Jimmie Dale Gilmore*,[]
56,Wild Billy's Circus Story,Bruce Springsteen*,[]
65,Welcome to Earth (Pollywog),Sturgill Simpson*,[]
241,I Lost It,Lucinda Williams,[]
177,High Water,Uncle Tupelo,[]
264,Rogers Park,Justin Townes Earle,[]
227,Revelator,Gillian Welch,[]
12,Player,Mark Jones*,[]
109,Four Roses Whiskey,The Galoots*,[]
44,"Through The Morning, Through The Night",Dillard & Clark*,[]
180,One Time One Night,Los Lobos,[]
185,Don't Wanna Know Why,Whiskeytown,[]
142,The Promise,Sturgill Simpson*,[]
1,Return of the Grievous Angel,Gram Parsons & Emmylou Harris*,[]
201,Song for Adam/Shadow Dream Song,Gregg Allman,[]
14,Flatness,Uncle Tupelo*,[]
4,Zip City,Drive-By Truckers*,[]
111,500 Miles Away from Home,Bobby Bare,[]
119,The End Is Not in Sight (The Cowboy Tune),Amazing Rhythm Aces*,[]
17,Loretta,Townes Van Zandt*,[]
171,Barrier Reef,Old 97's,[]
71,Silver Raven,Gene Clark*,[]
184,Cowboy Song,Thin Lizzy,[]
58,Fuck Up,Sarah Shook & the Disarmers*,[]
249,"Fare Thee Well, Miss Carousel",Townes Van Zandt,[]
126,Mountain Girl,Blue Mountain*,[]
31,"The Living Bubba (Live, 2014)",Drive-By Truckers*,[]
97,James River Blues,Old Crow Medicine Show*,[]
73,Play Something We Know,Adam Hood*,[]
222,A Matter of Time,Los Lobos,[]
242,Easy Come Easy Go,Hayes Carll,[]
266,Rodeo,Futurebirds,[]
182,Lioness,Songs: Ohia,[]
155,Far From Me,John Prine*** Year: 1971,[]
62,Dying of the Pines,The Gourds*,[]
230,Christmas in Prison,John Prine,[]
238,LA City,Ox,[]
246,Late for Church,Drive-By Truckers,[]
28,She Ain't Goin' Nowhere,Guy Clark*,[]
170,Early Morning Riser,Pure Prairie League,[]
3,Why She's Acting This Way,Townes Van Zandt,[]
207,A Song for You,Gram Parsons **,[]
133,For the Sake of the Song,Townes Van Zandt*,[]
45,Radio King,Golden Smog*,[]
265,My Proud Mountains,Townes Van Zandt,[]
110,"Sun Comes Up, It's Tuesday Morning",Cowboy Junkies*,[]
231,You Ain't Goin' Nowhere,The Byrds,[]
251,To Live Is To Fly,Cowboy Junkies,[]
215,Windfall,Son Volt,[]
197,Down to Zero,Joan Armatrading,[]
178,One More Dollar,Gillian Welch,[]
145,Long Long Time to Get Old,Ian & Sylvia/Great Speckled Bird*,[]
223,Lazy Guy,Slobberbone,[]
164,Forget the Flowers,Wilco,[]
220,Colorado,The Flying Burrito Brothers,[]
118,She Don't Care About Time,Gene Clark*,[]
137,If I Could Only Fly,Blaze Foley*,[]
76,Gravity's Gone,Drive-By Truckers*,[]
153,Blue RIdge Mountain Skyline,Sammy Walker Year: 1977,[]
123,Broken Records,The Refreshments*,[]
243,Born to Run,Emmylou Harris,[]
8,Nothing Was Delivered,The Byrds*,[]
270,Red Sun,Neil Young,[]
160,Our Town,Iris DeMent*,[]
63,Alone Again Or,Calexico*,[]
228,Decoration Day,Drive-By Truckers,[]
168,One Promise Too Late,Reba McEntire,[]
162,Sugar Cane,Ox,[]
154,Ventura,Lucinda Williams Year: 2003,[]
114,Long Time Gone,Darrell Scott and Tim O'Brien*,[]
218,Come Tomorrow,Townes Van Zandt,[]
174,Son of a Rotten Gambler,Emmylou Harris,[]
166,"Oh, Atlanta",Alison Krauss,[]
234,Cryin' but My Tears Are Far Away,The Knitters,[]
140,Gimme Back My Dog,Slobberbone *,[]
186,Blue Canoe,Blue Mountain,[]
157,If I Needed You,Townes Van Zandt,[]
206,Sweet Baby James,James Taylor,[]
147,One Way Train,Mark Jones*,[]
253,Live Forever,Shaver,[]
106,Lungs,Townes Van Zandt,[]
53,Panties In Your Purse,Drive-By Truckers*,[]
190,Wasn't Born to Follow,The Byrds,[]
132,Crazy Man,Freakwater*,[]
42,Evangeline,Los Lobos*,[]
354,Poncho & Lefty,Townes Van Zandt,[]
131,In Tall Buildings,John Hartford*,[]
187,One More Run,(David Childers and) The Modern Don Juans,[]
79,Heart on a String,Jason Isbell and the 400 Unit*,[]
55,A Pirate Looks At Forty,Jimmy Buffett*,[]
51,Rough and Rocky,Emmylou Harris*,[]
121,Marry Me,Drive-By Truckers*,[]
135,When I Fall,Steve Earle*,[]
167,Six White Horses,Waylon Jennings,[]
67,Winonah,Michael Nesmith*,[]
93,Look the Other Way,Justin Townes Earle*,[]
144,To Beat the Devil,Kris Kristofferson*,[]
226,The Front Porch Song,Robert Earl Keen,[]
172,Across the Great Divide,Kate Wolf,[]
39,Colorado,Stephen Stills*,[]
15,Some of Shelly's Blues,Michael Nesmith*,[]
72,The Bramble and the Rose,Barbara Keith*,[]
202,If It Takes a Lifetime,Jason Isbell,[]
116,All Her Lovers Want to be the Hero,Steve Young*,[]
252,O! Grace,Magnolia Electric Co.,[]
125,Pouring Rain at Dawn,The Jayhawks*,[]
2,Little Silver Heart,Lucero*,[]
103,You Were the Fool,Ween*,[]
216,Frightened by the Sound,Justin Townes Earle,[]
268,Where Ya Been?,Luke Bell,[]
152,Feelin' Good Again,Robert Earl Keen Year: 1998,[]
179,Tattler,Ry Cooder,[]
88,Texas & Tennessee,Lucero*,[]
49,Tom Ames' Prayer,Steve Earle*,[]
38,Slice of Life,Dead Hot Workshop*,[]
181,All Around You,Sturgill Simpson,[]
205,Don't This Look Like The Dark,Magnolia Electric Co.,[]
148,Black Diamond Bay,Bob Dylan*,[]
260,A Good Time,John Prine,[]
23,Placemat Blues,Slobberbone*,[]
221,Fire,Waxahatchee,[]
99,The Needle Has Landed,Neko Case*,[]
261,Won't Be Coming Home,Golden Smog,[]
87,Lodi,Creedence Clearwater Revival*,[]
40,Feel Alright,Steve Earle*,[]
105,Let the Good Times Roll,Natural Child*,[]
107,The Girl Who Danced Oklahoma,Terry Allen*,[]
273,Pick Your Nose,Cowboy,[]
34,South of Cincinnati,Dwight Yoakam*,[]
95,Summer Brings the Sunshine,Jimmy Carter and Dallas County Green*,[]
30,Ashes by Now,Emmylou Harris*,[]
163,$1000 Wedding,Gram Parsons,[]
52,Mr. Bojangles,Jerry Jeff Walker*,[]
96,Cowgirl in the Sand,Neil Young*,[]
161,Ready or Not,Jackson Browne,[]
78,Tennessee Rose,Emmylou Harris*,[]
113,Gone Wanderin',Jackie Greene*,[]
98,Some New Town,Slobberbone*,[]
91,Right in Time,Lucinda Williams*,[]
36,Omaha,Waylon Jennings*,[]
193,Columbine,Townes Van Zandt,[]
203,Got Me A Woman,Levon Helm,[]
59,Hands on the Wheel,Willie Nelson*,[]
256,Sharing a Gibson with Martin Luther King Jr.,Lambchop,[]
48,Crowbar,Waxahatchee*,[]
22,Dancing With the Women at the Bar,Whiskeytown*,[]
233,Rollerskate Skinny,Old 97's,[]
159,Cowpoke,Johnny* Western,[]
130,Johnson's Love,Dwight Yoakam*,[]
29,The Bullfighter,Luke Bell*,[]
80,Willin',Little Feat*,[]
64,These Days,Gregg Allman*,[]
120,Wild Horses,The Flying Burrito Brothers*,[]
138,I Won't Be Hangin' Round,Linda Ronstadt*,[]
183,V,Golden Smog,[]
27,Big Time,Angel Olson and Sturgill Simpson*,[]
236,24 Frames,Jason Isbell,[]
115,My Father's House,Emmylou Harris*,[]
255,Trucker Speed,Fred Eaglesmith,[]
24,Sleeping on Hold,Freakwater*,[]
43,Shoestrings,Cowboy*,[]
90,That Old Time Feeling,Guy Clark*,[]
101,Desert Skies,The Marshall Tucker Band*,[]
70,If You Were a Bluebird,Joe Ely*,[]
62,5 Days in May,Blue Rodeo*,[]
173,Someday,Steve Earle,[]
