Number,Track Name,Main Artist,Related Artists
1,Return of the Grievous Angel,Gram Parsons & Emmylou Harris*,[]
2,Little Silver Heart,Lucero*,[]
3,Why She's Acting This Way,Townes Van Zandt,[]
4,Zip City,Drive-By Truckers*,[]
4,You're Supposed to be Feeling Good,Emmylou Harris*,[]
6,Telephone Road,Steve Earle*,[]
7,Rolling Along,Lucinda Williams*,[]
8,Nothing Was Delivered,The Byrds*,[]
9,Cigarette Machine,Fred Eaglesmith*,[]
10,Rock Me on the Water,Linda Ronstadt*,[]
11,Down That Dusty Trail,Robert Earl Keen*,[]
12,Player,Mark Jones*,[]
13,Carolinah,Ox*,[]
14,Flatness,Uncle Tupelo*,[]
15,Some of Shelly's Blues,Michael Nesmith*,[]
16,Suckerpunch,The Refreshments*,[]
17,Loretta,Townes Van Zandt*,[]
18,Anniversary Song,Cowboy Junkies*,[]
19,Story of You,Jimmie Dale Gilmore*,[]
20,Gimme a Ride to Heaven Boy,Terry Allen*,[]
21,Leave the City,Magnolia Electric Co.*,[]
22,Dancing With the Women at the Bar,Whiskeytown*,[]
23,Placemat Blues,Slobberbone*,[]
24,Sleeping on Hold,Freakwater*,[]
25,Under Control,MJ Lenderman*,[]
26,Song for You,The Outlaws*,[]
27,Big Time,Angel Olson and Sturgill Simpson*,[]
28,She Ain't Goin' Nowhere,Guy Clark*,[]
29,The Bullfighter,Luke Bell*,[]
30,Ashes by Now,Emmylou Harris*,[]
31,"The Living Bubba (Live, 2014)",Drive-By Truckers*,[]
32,Good Time Charlie's Got the Blues,Danny O'Keefe*,[]
33,Stolen Car,Ox*,[]
34,South of Cincinnati,Dwight Yoakam*,[]
35,Big Brown Eyes,Old 97's*,[]
36,Omaha,Waylon Jennings*,[]
37,Amarillo Highway (for Dave Hickey),Terry Allen (and the Panhandle Mystery Band)*,[]
38,Slice of Life,Dead Hot Workshop*,[]
39,Colorado,Stephen Stills*,[]
40,Feel Alright,Steve Earle*,[]
41,West,Lucinda Williams*,[]
42,Evangeline,Los Lobos*,[]
43,Shoestrings,Cowboy*,[]
44,"Through The Morning, Through The Night",Dillard & Clark*,[]
45,Roadworn and Weary,Supersuckers*,[]
45,Radio King,Golden Smog*,[]
47,"High, Low and In Between",Townes Van Zandt*,[]
48,Crowbar,Waxahatchee*,[]
49,Tom Ames' Prayer,Steve Earle*,[]
50,Wayside/Back in Time,Gillian Welch*,[]
51,Rough and Rocky,Emmylou Harris*,[]
52,Mr. Bojangles,Jerry Jeff Walker*,[]
53,Panties In Your Purse,Drive-By Truckers*,[]
54,Growing Trade,Levon Helm*,[]
55,A Pirate Looks At Forty,Jimmy Buffett*,[]
56,Wild Billy's Circus Story,Bruce Springsteen*,[]
57,Victim Of Life's Circumstances,Delbert McClinton*,[]
58,Fuck Up,Sarah Shook & the Disarmers*,[]
59,Hands on the Wheel,Willie Nelson*,[]
61,You Can Close Your Eyes,Linda Ronstadt*,[]
62,Dying of the Pines,The Gourds*,[]
62,5 Days in May,Blue Rodeo*,[]
63,Alone Again Or,Calexico*,[]
64,These Days,Gregg Allman*,[]
65,Welcome to Earth (Pollywog),Sturgill Simpson*,[]
66,Early Blue,F.J. McMahon*,[]
67,Winonah,Michael Nesmith*,[]
68,Lake Marie,John Prine*,[]
69,What's the World Got in Store,Wilco*,[]
70,If You Were a Bluebird,Joe Ely*,[]
71,Silver Raven,Gene Clark*,[]
72,The Bramble and the Rose,Barbara Keith*,[]
73,Play Something We Know,Adam Hood*,[]
74,Last Lonely Eagle,New Riders of the Purple Sage*,[]
