Number,Track Name,Album,Main Artist,Related Artists,Spotify Link
1,Return of the Grievous Angel,Grievous Angel,Gram Parsons & Emmylou Harris,[],https://open.spotify.com/track/7vOYp7KJ8gVmVbcatSVf9J
2,Little Silver Heart,Lucero,Lucero,[],https://open.spotify.com/track/1BK3DmIQ3QU19F50YXhz8R
3,Why She's Acting This Way,Our Mother the Mountain,Townes Van Zandt,[],https://open.spotify.com/track/5txiSsUabBGJHSWWU2Veum
4,You're Supposed to be Feeling Good,Luxury Liner,Emmylou Harris,[],https://open.spotify.com/track/2vrprM3PE1gLJoaLBTdRwX
5,Zip City,Southern Rock Opera,Drive-By Truckers,[],https://open.spotify.com/track/2a2zqhzAkG77QBynuFy0ws
6,Telephone Road,El Corazon,Steve Earle,[],https://open.spotify.com/track/1rjvVnu5bMrKKGKLTJOYrJ
7,Rolling Along,Happy Woman Blues,Lucinda Williams,[],https://open.spotify.com/track/5KkGnH6johEhnfsXOn7iPR
8,Nothing Was Delivered,Sweetheart of the Rodeo,The Byrds,[],https://open.spotify.com/track/2wZGvJqe4QWwJv1F7HWpDM
9,Cigarette Machine,6Volts,Fred Eaglesmith,[],https://open.spotify.com/track/10PZZkRK6BQGZ3ZgPKsTnd
10,Rock Me on the Water,Linda Ronstadt,Linda Ronstadt,[],https://open.spotify.com/track/50DGEghpwDFdZovHi0nz7K
11,Down That Dusty Trail,Walking Distance,Robert Earl Keen,[],https://open.spotify.com/track/0dAQW7XUV8h8b1o2KQdhrH
12,Player,Snowblind Traveler,Mark Jones,[],https://open.spotify.com/track/3dxUfxVmpsmdPWwgFQQFgE
13,Carolinah,Dust Bowl Revival,Ox,[],https://open.spotify.com/track/3Cj85JRHIjoTLiDOTjEPi6
14,Flatness,No Depression,Uncle Tupelo,[],https://open.spotify.com/track/0S8aAFIi1kdNvbhXLNYZOZ
15,Some of Shelly's Blues,Pretty Much Your Standard Ranch Stash,Michael Nesmith,[],https://open.spotify.com/track/3bjmCi1soblKm9x5Ybltpc
16,Suckerpunch,Fizzy Fuzzy Big & Buzzy,The Refreshments,[],https://open.spotify.com/track/0aercGhduQ95BeCDMV9EMM
17,Loretta,Flyin' Shoes,Townes Van Zandt,[],https://open.spotify.com/track/0mtAGWGEn26vjojj3hTVX3
18,Anniversary Song,Pale Sun Crescent Moon,Cowboy Junkies,[],https://open.spotify.com/track/2PDbeqarlwOMSrAwLMCbtQ
19,Story of You,"""After Awhile""",Jimmie Dale Gilmore,[],https://open.spotify.com/track/6tdqnZzrfFgOShvy2HQhrd
20,Gimme a Ride to Heaven Boy,Bloodlines,Terry Allen,[],https://open.spotify.com/track/550xyyH5ciaFq2VBXUzMwr
21,Leave the City,What Comes After The Blues,Magnolia Electric Co.,[],https://open.spotify.com/track/7IociFkFQ0fJDxuUtNED9I
22,Dancing With the Women at the Bar,Strangers Almanac,Whiskeytown,[],https://open.spotify.com/track/6otMdQUdrKjxV5PtVTd4vq
23,Placemat Blues,Everything You Thought Was Right Was Wrong Today,Slobberbone,[],https://open.spotify.com/track/5bTTiig9keEJ2qT9M0j6D3
24,Sleeping on Hold,Feels Like the Third Time,Freakwater,[],https://open.spotify.com/track/1FQFDuoVL1ameABbmF4Y8X
25,Under Control,Boat Songs,MJ Lenderman,[],https://open.spotify.com/track/5WTUgcDpabIrKeDOA0cFs2
26,Song for You,The Outlaws,The Outlaws,[],https://open.spotify.com/track/3RsLZfhZVLDWPjuVAsReur
27,Big Time,[Single],Angel Olson and Sturgill Simpson,[],https://open.spotify.com/track/3RZ5VvBcCQgrRl8XaKZLa4
28,She Ain't Goin' Nowhere,Old No. 1,Guy Clark,[],https://open.spotify.com/track/7Hcp4hERmrQvXNx4jtYBst
29,The Bullfighter,Luke Bell,Luke Bell,[],https://open.spotify.com/track/5kGaOHoFdnRazFK87JEOcH
30,Ashes by Now,Evangeline,Emmylou Harris,[],https://open.spotify.com/track/7qASJJ54rQwRbpqYmnyb4a
31,"The Living Bubba (Live, 2014)",It's Great To Be Alive!,Drive-By Truckers,[],https://open.spotify.com/track/6P7hirtADFSTzOEIfmYBUk
32,Good Time Charlie's Got the Blues,Danny O'Keefe,Danny O'Keefe,[],https://open.spotify.com/track/2AyQXjM2jyjIM3t8YavbME
33,Stolen Car,Dust Bowl Revival,Ox,[],https://open.spotify.com/track/5piGHBDKDPM1wlOmcLh777
34,South of Cincinnati,"Guitars, Cadillacs, Etc., Etc.",Dwight Yoakam,[],https://open.spotify.com/track/1wTJVQpuoLDjuM5CZ7l8h1
35,Big Brown Eyes,Too Far To Care,Old 97's,[],https://open.spotify.com/track/4X8EtM3wtFfSLEs4PMm68e
36,Omaha,Honky Tonk Heroes,Waylon Jennings,[],https://open.spotify.com/track/3yeONAlGlFCEW2bAZHrXTQ
37,Amarillo Highway (for Dave Hickey),Lubbock (on everything),Terry Allen (and the Panhandle Mystery Band),[],https://open.spotify.com/track/3LO6evXvbopPHiVG9AKax7
38,Slice of Life,1001,Dead Hot Workshop,[],https://open.spotify.com/track/2VoSz6IuejA4qX6RWDtBZe
39,Colorado,Manassas,Stephen Stills,[],https://open.spotify.com/track/6VyuVYEJnZmlEQ5GT9LQvT
40,Feel Alright,I Feel Alright,Steve Earle,[],https://open.spotify.com/track/7fF6Af2M3vL4IUtE8cMy6G
41,West,West,Lucinda Williams,[],https://open.spotify.com/track/5mNuybrIUi8NS9JGqAE8Je
42,Evangeline,How Will the Wolf Survive?,Los Lobos,[],https://open.spotify.com/track/17G0Er8onvPg7TMqNCIaUU
43,Shoestrings,5'll Getcha Ten,Cowboy,[],https://open.spotify.com/track/5XxXigEJAO021Vj9AqpHoJ
44,"Through The Morning, Through The Night","Through The Morning, Through The Night",Dillard & Clark,[],https://open.spotify.com/track/03SLCXQpiHF8gZ8MzTtEnL
45,Radio King,Down By The Old Mainstream,Golden Smog,[],https://open.spotify.com/track/3C46CEeM0ltNQwOtPN8jRg
46,Roadworn and Weary,Must've Been High,Supersuckers,[],https://open.spotify.com/track/6xfRp0cAEbcd67MSaYkNfs
47,"High, Low and In Between","High, Low And In Between",Townes Van Zandt,[],https://open.spotify.com/track/4KWUjo4nYc1iJzdCxrFATJ
48,Crowbar,Tigers Blood,Waxahatchee,[],https://open.spotify.com/track/1uy1GgGTNRvSP3961dRH5p
49,Tom Ames' Prayer,Train A Comin',Steve Earle,[],https://open.spotify.com/track/6ECCop7GhRHFspkXZzm779
50,Wayside/Back in Time,Soul Journey,Gillian Welch,[],https://open.spotify.com/track/7kBgZQP85cQBKKDTmjcDf3
51,Rough and Rocky,Blue Kentucky Girl,Emmylou Harris,[],https://open.spotify.com/track/66GkijeYtJZQOIcoxyYXo2
52,Mr. Bojangles,Mr. Bojangles,Jerry Jeff Walker,[],https://open.spotify.com/track/51DLN9R1dIqkKnlRsz1kpg
53,Panties In Your Purse,Gangstabilly,Drive-By Truckers,[],https://open.spotify.com/track/5JzR4JjjCtCN9uwsxi8FSz
54,Growing Trade,Electric Dirt,Levon Helm,[],https://open.spotify.com/track/5GrXLFkmtXk9SWmIqCfXGM
55,A Pirate Looks At Forty,A-1-A,Jimmy Buffett,[],https://open.spotify.com/track/6ac6RlvEhiFraIxBYHhg1j
56,Wild Billy's Circus Story,"The Wild, the Innocent & The E Street Shuffle",Bruce Springsteen,[],https://open.spotify.com/track/6OBEKyFZgWR0eKLFMJjJG1
57,Victim Of Life's Circumstances,Honky Tonk 'N Blues,Delbert McClinton,[],https://open.spotify.com/track/0CAYpoj5TXITeKEkodfrvy
