Number,Track Name,Album,Main Artist,Related Artists,Spotify Link,Album Wikipedia,Related Artists - Album,Artist Wikipedia,Related Artists - Other
1,Return of the Grievous Angel,Grievous Angel,Gram Parsons & Emmylou Harris,[],https://open.spotify.com/track/7vOYp7KJ8gVmVbcatSVf9J,https://en.wikipedia.org/?curid=2910749,Gram Parsons; Emmylou Harris; Glen D. Hardin; James Burton; Emory Gordy Jr.; Ron Tutt; Herb Pedersen; Al Perkins; Bernie Leadon; Byron Berline; N.D. Smart; Steve Snyder; Linda Ronstadt,https://en.wikipedia.org/?curid=164426,James Burton; Gram Parsons; Emmylou Harris
2,Little Silver Heart,Lucero,Lucero,[],https://open.spotify.com/track/1BK3DmIQ3QU19F50YXhz8R,https://en.wikipedia.org/?curid=7131398,,https://en.wikipedia.org/?curid=25523421,
3,Why She's Acting This Way,Our Mother the Mountain,Townes Van Zandt,[],https://open.spotify.com/track/5txiSsUabBGJHSWWU2Veum,https://en.wikipedia.org/?curid=9312975,Townes Van Zandt; Ben Bernay; James Burton; John Clauder; David Cohen; Chuck Domanico; Jack Clement; Charlie McCoy; Lyle Ritz; Don Randi; Harvey Newmark; Mike Deasy; Donald Frost; Jules Jacob; Bergen White; Donnie Owens; Charlie Tallent; Milton Glaser; Allen Vogel,https://en.wikipedia.org/?curid=292709,Jack Clement
4,You're Supposed to be Feeling Good,Luxury Liner,Emmylou Harris,[],https://open.spotify.com/track/2vrprM3PE1gLJoaLBTdRwX,https://en.wikipedia.org/?curid=4606969,Brian Ahern; Mike Auldridge; Dianne Brooks; James Burton; Rodney Crowell; Rick Cunha; Hank DeVito; Emory Gordy Jr.; Glen Hardin; Emmylou Harris; Nicolette Larson; Albert Lee; Dolly Parton; Herb Pedersen; Mickey Raphael; Ricky Skaggs; Fayssoux Starling; John Ware; Donivan Cowart; Bradley Hartman; Stuart Taylor; Miles Wilkinson,https://en.wikipedia.org/?curid=123572,Brian Ahern; Emmylou Harris; Dolly Parton; Rodney Crowell; James Burton; Ricky Skaggs
5,Zip City,Southern Rock Opera,Drive-By Truckers,[],https://open.spotify.com/track/2a2zqhzAkG77QBynuFy0ws,https://en.wikipedia.org/?curid=1138017,Mike Cooley; Earl Hicks; Patterson Hood; Rob Malone; Brad Morgan; Kelly Hogan; Anne Richmond Boston; Jyl Freed; Amy Pike; Rodney Mills,https://en.wikipedia.org/?curid=1217798,Patterson Hood; Mike Cooley; Brad Morgan; Rob Malone; Earl Hicks; Jyl Freed; Kelly Hogan; Amy Pike
6,Telephone Road,El Corazon,Steve Earle,[],https://open.spotify.com/track/1rjvVnu5bMrKKGKLTJOYrJ,https://en.wikipedia.org/?curid=4425962,Steve Earle; Del McCoury; Emmylou Harris; Ray Kennedy; Dan Bolton; Mike Bub; Tommy Hannum; Kelly Looney; Robbie McCoury; Ronnie McCoury; Micheal Smotherman; Eddie Spaghetti; Ross Rice; David Steele; Brad Jones; Renaldo Allegre; Brady Blade; Jason Carter; Mark Stuart; Justin Earle; Jim Hoke; Tony Fitzpatrick,https://en.wikipedia.org/?curid=194910,Steve Earle; Emmylou Harris
7,Rolling Along,Happy Woman Blues,Lucinda Williams,[],https://open.spotify.com/track/5KkGnH6johEhnfsXOn7iPR,https://en.wikipedia.org/?curid=2418961,Lucinda Williams; Mickey White; Rex Bell; Andre Mathews; Ira Wilkes; Malcolm Smith; Ronald Clyne,https://en.wikipedia.org/?curid=273373,Lucinda Williams
8,Nothing Was Delivered,Sweetheart of the Rodeo,The Byrds,[],https://open.spotify.com/track/2wZGvJqe4QWwJv1F7HWpDM,https://en.wikipedia.org/?curid=195767,Roger McGuinn; Chris Hillman; Gram Parsons; Kevin Kelley; Lloyd Green; JayDee Maness; Clarence White; John Hartford; Earl P. Ball; Barry Goldberg; Gary Usher; Roy Halee; Charlie Bragg; Adam Block; Jo Mora,https://en.wikipedia.org/?curid=98648,Chris Hillman; The Byrds; Gram Parsons; Clarence White; Gary Usher; Kevin Kelley
9,Cigarette Machine,6Volts,Fred Eaglesmith,[],https://open.spotify.com/track/10PZZkRK6BQGZ3ZgPKsTnd,,,https://en.wikipedia.org/?curid=1461515,Fred Eaglesmith
10,Rock Me on the Water,Linda Ronstadt,Linda Ronstadt,[],https://open.spotify.com/track/50DGEghpwDFdZovHi0nz7K,https://en.wikipedia.org/?curid=160760,,https://en.wikipedia.org/?curid=160760,Linda Ronstadt
11,Down That Dusty Trail,Walking Distance,Robert Earl Keen,[],https://open.spotify.com/track/0dAQW7XUV8h8b1o2KQdhrH,https://en.wikipedia.org/?curid=5765578,,https://en.wikipedia.org/?curid=1479650,
