artist,total_songs,songs_with_words,percentage_with_words
""The Bottle Rockets"",1,1,100.00
"(David Childers and) The Modern Don Juans",1,1,100.00
"Adam Hood",1,1,100.00
"Alison Krauss",1,1,100.00
"Allman Brothers Band",1,1,100.00
"Amazing Rhythm Aces",1,1,100.00
"Angel Olson and Sturgill Simpson",1,1,100.00
"Barbara Keith",2,2,100.00
"Billy Strings",1,1,100.00
"Blaze Foley",1,1,100.00
"Blue Mountain",2,2,100.00
"Blue Rodeo",1,1,100.00
"Bob Dylan",1,1,100.00
"Bobby Bare",1,1,100.00
"Brinsley Schwarz",1,1,100.00
"Bruce Springsteen",1,1,100.00
"Calexico",1,1,100.00
"Charlie Parr",2,2,100.00
"Chet Atkins/Dolly Parton",1,1,100.00
"Cowboy",4,4,100.00
"Cowboy Junkies",4,4,100.00
"Creedence Clearwater Revival",1,1,100.00
"Dan Penn",1,1,100.00
"Danny O'Keefe",2,2,100.00
"Darrell Scott and Tim O'Brien",1,1,100.00
"Darrin Bradbury",1,1,100.00
"Dave Rawlings Machine",1,1,100.00
"Dead Hot Workshop",1,1,100.00
"Delbert McClinton",1,1,100.00
"Dillard & Clark",1,1,100.00
"Doug Sahm",1,1,100.00
"Drive-By Truckers",15,15,100.00
"Dwight Yoakam",3,3,100.00
"Elyse Weinberg",1,1,100.00
"Emmylou Harris",14,14,100.00
"Emmylou Harris (and Willie Nelson)",1,1,100.00
"Emmylou Harris, Dolly Parton, and Linda Ronstadt",1,1,100.00
"F.J. McMahon",1,1,100.00
"Frank Adams",1,1,100.00
"Freakwater",2,2,100.00
"Fred Eaglesmith",2,2,100.00
"Futurebirds",1,1,100.00
"Gary P. Nunn",1,1,100.00
"Gene Clark",5,5,100.00
"Gillian Welch",6,6,100.00
"Golden Smog",5,5,100.00
"Gram Parsons",3,3,100.00
"Gram Parsons & Emmylou Harris",1,0,0.00
"Gram Parsons (and Emmylou Harris)",1,1,100.00
"Gregg Allman",2,2,100.00
"Guy Clark",5,5,100.00
"Hayes Carll",1,1,100.00
"Ian & Sylvia/Great Speckled Bird",1,1,100.00
"Iris DeMent",2,2,100.00
"Jackie Greene",2,2,100.00
"Jackson Browne",1,1,100.00
"Jake Xerxes Fussell",1,1,100.00
"James McMurtry",1,1,100.00
"James Taylor",1,1,100.00
"Jason Isbell",3,3,100.00
"Jason Isbell and the 400 Unit",2,2,100.00
"Jeff Cowell",1,1,100.00
"Jerry Jeff Walker",2,2,100.00
"Jimmie Dale Gilmore",2,2,100.00
"Jimmy Buffett",1,1,100.00
"Jimmy Carter and Dallas County Green",1,1,100.00
"Joan Armatrading",1,1,100.00
