Entry #,Title,Word Count
1,"Return of the Grievous Angel by Gram Parsons & Emmylou Harris",454
2,"Little Silver Heart by Lucero",324
3,"Why She's Acting This Way by Townes Van Zandt",373
4,"You're Supposed to be Feeling Good by Emmylou Harris",293
5,"Zip City by Drive-By Truckers",347
6,"Telephone Road by Steve Earle",390
7,"Rolling Along by Lucinda Williams",415
8,"Nothing Was Delivered by The Byrds",410
9,"Cigarette Machine by Fred Eaglesmith",240
10,"Rock Me on the Water by Linda Ronstadt",566
11,"Down That Dusty Trail by Robert Earl Keen",401
12,"Player by Mark Jones",556
13,"Carolinah by Ox",271
14,"Flatness by Uncle Tupelo",602
15,"Some of Shelly's Blues by Michael Nesmith",785
16,"Suckerpunch by The Refreshments",118
17,"Loretta by Townes Van Zandt",124
18,"Anniversary Song by Cowboy Junkies",575
19,"Story of You by Jimmie Dale Gilmore",58
20,"Gimme a Ride to Heaven Boy by Terry Allen",410
21,"Leave the City by Magnolia Electric Co.",707
22,"Dancing With the Women at the Bar by Whiskeytown",535
23,"Placemat Blues by Slobberbone",445
24,"Sleeping on Hold by Freakwater",236
25,"Under Control by MJ Lenderman",599
26,"Song for You by The Outlaws",470
27,"Big Time by Angel Olson and Sturgill Simpson",589
28,"She Ain't Goin' Nowhere by Guy Clark",691
29,"The Bullfighter by Luke Bell",647
30,"Ashes by Now by Emmylou Harris",506
31,"The Living Bubba (Live, 2014) by Drive-By Truckers",638
32,"Good Time Charlie's Got the Blues by Danny O'Keefe",234
33,"Stolen Car by Ox",879
34,"South of Cincinnati by Dwight Yoakam",338
35,"Big Brown Eyes by Old 97's",496
36,"Omaha by Waylon Jennings",423
37,"Amarillo Highway (for Dave Hickey) by Terry Allen (and the Panhandle Mystery Band)",599
38,"Slice of Life by Dead Hot Workshop",83
39,"Colorado by Stephen Stills",25
40,"Feel Alright by Steve Earle",23
41,"West by Lucinda Williams",20
42,"Evangeline by Los Lobos",52
43,"Shoestrings by Cowboy",402
44,"Through The Morning, Through The Night by Dillard & Clark",465
45,"Radio King by Golden Smog",475
46,"Roadworn and Weary by Supersuckers",148
47,"High, Low and In Between by Townes Van Zandt",403
48,"Crowbar by Waxahatchee",364
49,"Tom Ames' Prayer by Steve Earle",988
50,"Wayside/Back in Time by Gillian Welch",1039
51,"Rough and Rocky by Emmylou Harris",329
52,"Mr. Bojangles by Jerry Jeff Walker",292
53,"Panties In Your Purse by Drive-By Truckers",412
54,"Growing Trade by Levon Helm",509
55,"A Pirate Looks At Forty by Jimmy Buffett",625
56,"Wild Billy's Circus Story by Bruce Springsteen",661
57,"Victim Of Life's Circumstances by Delbert McClinton",237
58,"Fuck Up by Sarah Shook & the Disarmers",498
59,"Hands on the Wheel by Willie Nelson",483
60,"5 Days in May by Blue Rodeo",301
61,"You Can Close Your Eyes by Linda Ronstadt",442
62,"Dying of the Pines by The Gourds",420
63,"Alone Again Or by Calexico",385
64,"These Days by Gregg Allman",635
65,"Welcome to Earth (Pollywog) by Sturgill Simpson",660
66,"Early Blue by F.J. McMahon",382
67,"Winonah by Michael Nesmith",404
68,"Lake Marie by John Prine",1035
69,"What's the World Got in Store by Wilco",411
70,"If You Were a Bluebird by Joe Ely",498
71,"Silver Raven by Gene Clark",576
72,"The Bramble and the Rose by Barbara Keith",483
73,"Play Something We Know by Adam Hood",363
74,"Last Lonely Eagle by New Riders of the Purple Sage",347
75,"Tearjoint by Dan Penn",490
76,"Gravity's Gone by Drive-By Truckers",405
77,"Heaven's High by Wrinkle Neck Mules",1354
78,"Tennessee Rose by Emmylou Harris",1204
79,"Heart on a String by Jason Isbell and the 400 Unit",365
80,"Willin' by Little Feat",433
81,"Sunshine (Go Away Today) by Jonathan Edwards",557
82,"Play a Train Song by Todd Snider",500
83,"The Whiskey Makes You Sweeter by Laure Cantrell",400
84,"Crazy About You by Whiskeytown",191
85,"Tecumseh Valley by Townes Van Zandt",606
86,"817 Oakland Avenue by Charlie Parr",615
87,"Lodi by Creedence Clearwater Revival",335
88,"Texas & Tennessee by Lucero",432
89,"Tear Stained Eye by Son Volt",437
90,"That Old Time Feeling by Guy Clark",570
91,"Right in Time by Lucinda Williams",305
